// n = 100, k = 50, seed = 9527, # of sigma = 20, # of algorithms = 3
BCH5 SpecOrth logarithm	Newton Algorithm	Hybrid Algorithm
100	50	9527	20	3
0.1	0.2789473684210526	0.45789473684210524	0.6368421052631579	0.8157894736842105	0.9947368421052631	1.1736842105263159	1.3526315789473684	1.5315789473684212	1.7105263157894737	1.8894736842105264	2.068421052631579	2.2473684210526317	2.4263157894736844	2.6052631578947367	2.7842105263157895	2.963157894736842	3.142105263157895	3.3210526315789473	3.5

BCH5 SpecOrth logarithm
8602414	8766642	8822183	8939888	14787496	14925687	15152071	15306628	15610927	21839781	22427218	22839630	29745558	31402968	63420434	97484456	413682840	168245668	229781556	858552593
8698923	8765789	8808234	8971718	14965107	15112653	15198649	15269344	21601245	21864290	22313812	23030143	30004023	44009105	77902452	268982574	155153361	226213862	1341739935	367496363
8683608	8806587	8817102	8939868	14879825	15056720	15151098	15342873	15600708	21755029	22238858	22698049	29502983	31509353	85796060	186941180	193917239	234755431	141716693	118317484
8767427	8872208	8927225	9004750	15058385	15194893	15301644	15304849	15528311	21711643	22049980	22695801	29523727	31252092	52645805	114640464	140207532	165754111	201259861	210058213
8623184	8750796	8815431	8942942	14978029	15225506	15462085	15644037	21696892	21921514	22370801	23168105	30424398	40648574	99623283	117858425	919148235	643996422	142644864	282487059
8865980	8871696	8881672	9029176	15073698	15188304	15321185	15511442	15867934	22143093	22559907	23119954	30196132	32246413	144695170	90133434	105160278	325265350	272493749	198851279
8610845	8766651	8848975	8963084	14949963	15118026	15178980	15271999	15546293	21627835	21973237	22509732	29252526	30688648	59367444	165604482	97059038	141665061	234370197	272555972
8752779	8945149	8926144	9014723	15117951	15196359	15275325	15361901	21662763	21886123	22156616	22720922	29553545	31619292	81375685	163597445	291345217	101479006	311476019	189898612
8700910	8832320	8828104	8971017	15044672	15267663	15375056	15527250	15643998	21818002	22229929	22820297	29601486	31163734	52782563	69080210	127478217	180626517	866560097	142176991
8672465	8771465	8736489	8954169	14928222	15038815	15195712	15320226	21358095	21667051	22153349	22927763	30116570	40074862	118391343	154305111	181283398	145364709	170793322	283019101
8581290	8690904	8693638	8875990	14943411	15024121	15157645	15305042	21511564	21760464	22160175	22896992	29889198	32326528	74841507	1434804200	134119812	101949975	104075038	163893963
8682661	8809432	8852689	8990502	14944711	15184507	15326917	15524907	15797970	22074304	22381415	22849857	30077530	43844495	82876817	104441111	105903986	115933005	203410484	132507460
8718759	8873075	8913104	9056627	15121487	15310315	15493121	15742631	21516914	21740404	22229583	22739820	29612931	31536724	84933391	89391089	125833132	99890553	102587572	129762557
